startupName,homepage_url,category_list,total_funding,status,country_code,state_code,funding_rounds,first_funding_at,last_funding_at,homepage_url_code,time_delayFor_first_round,average_time_delay_rounds,average_raised_usd,average_time_delay_rounds_number,time_delayFor_first_round_number,statusCode,No_Of_Investors,MainCategory,USA_Region
One Inc.,http://whatis1.com,mobile,1150050,operating,USA,CA,3,7/20/2011,2/5/2014,1,566 days 00:00:00.000000000,465 days 12:00:00.000000000,575025,465,566,1,12,mobile,West
10-20 Media,http://www.10-20media.com,e-commerce,2050000,operating,USA,MD,4,6/18/2009,12/28/2011,1,285 days 00:00:00.000000000,307 days 16:00:00.000000000,512500,307,285,0,1,e-commerce,South
Redox,http://www.redoxengine.com,health care|health care information technology|hospitals,4000000,operating,USA,WI,2,11/26/2014,10/20/2015,1,328 days 00:00:00.000000000,328 days 00:00:00.000000000,2000000,328,328,1,6,healthcare,Midwest
10sec,https://10s.ec/,e-commerce|mobile commerce|social commerce,1600000,operating,USA,CA,2,10/31/2013,5/8/2014,1,189 days 00:00:00.000000000,189 days 00:00:00.000000000,1600000,189,189,1,2,mobile,West
10X Technologies,http://10xtechnologies.com,biotechnology,3550000,operating,USA,CA,2,11/7/2012,1/12/2015,1,796 days 00:00:00.000000000,796 days 00:00:00.000000000,1775000,796,796,1,1,biotech,West
121nexus,http://www.121nexus.com,health diagnostics|medical devices|personalization|pharmaceuticals|politics|software|technology,794000,operating,USA,RI,6,2/6/2012,1/1/2014,1,74 days 00:00:00.000000000,139 days 00:00:00.000000000,132333.3333,139,74,1,6,medicalGear,Northeast
1366 Technologies,http://www.1366tech.com,manufacturing,71450000,operating,USA,MA,9,3/27/2008,4/9/2015,1,678 days 00:00:00.000000000,321 days 03:00:00.000000000,7938888.889,321,678,1,9,manufacturing,Northeast
15Five,http://15five.com,software,3400000,operating,USA,CA,3,1/1/2012,10/2/2014,1,380 days 00:00:00.000000000,502 days 12:00:00.000000000,1133333.333,502,380,1,14,software,West
1DocWay,http://1docway.com,doctors|health care|health care information technology|video|video chat,1700000,acquired,USA,NY,2,8/10/2011,7/21/2015,1,1441 days 00:00:00.000000000,1441 days 00:00:00.000000000,1700000,1441,1441,1,12,healthcare,Northeast
Babyscripts,http://www.getbabyscripts.com,health and wellness|mobile health,2100000,operating,USA,DC,3,3/11/2013,4/10/2015,1,287 days 00:00:00.000000000,380 days 00:00:00.000000000,700000,380,287,1,4,healthcare,South
1stdibs,http://www.1stdibs.com,e-commerce,117000000,operating,USA,NY,5,11/3/2011,9/9/2015,1,333 days 00:00:00.000000000,351 days 12:00:00.000000000,39000000,351,333,1,6,e-commerce,Northeast
1World Online,http://1worldonline.com,analytics|big data|enterprise software|market research|mobile|software,4000000,operating,USA,CA,3,7/2/2013,8/13/2015,1,152 days 00:00:00.000000000,386 days 00:00:00.000000000,1333333.333,386,152,1,6,mobile,West
20/20 Gene Systems Inc.,http://2020gene.com,biotechnology|health diagnostics,4345427,operating,USA,MD,3,9/25/2012,10/30/2015,1,1093 days 00:00:00.000000000,565 days 00:00:00.000000000,1448475.667,565,1093,1,1,healthcare,South
20x200,http://www.20x200.com,art|e-commerce|social commerce,2800000,operating,USA,NY,2,10/1/2009,8/1/2010,1,304 days 00:00:00.000000000,304 days 00:00:00.000000000,1400000,304,304,0,11,e-commerce,Northeast
21 Inc,https://21.co,big data|bitcoin|hardware + software|technology,121050000,operating,USA,CA,2,11/17/2013,3/10/2015,1,478 days 00:00:00.000000000,478 days 00:00:00.000000000,60525000,478,478,1,10,software,West
22nd Century Group,http://www.xxiicentury.com,biotechnology,15034750,ipo,USA,NY,6,12/28/2010,9/18/2014,1,365 days 00:00:00.000000000,272 days 00:00:00.000000000,2505791.667,272,365,1,1,biotech,Northeast
23andMe,http://23andme.com,biotechnology|search,227049900,operating,USA,CA,8,11/2/2005,7/3/2015,1,700 days 00:00:00.000000000,504 days 06:51:25.714285712,28381237.5,504,700,1,17,biotech,West
250ok,http://250ok.com,software,300000,operating,USA,IN,2,9/1/2012,3/1/2014,1,546 days 00:00:00.000000000,546 days 00:00:00.000000000,150000,546,546,1,1,software,Midwest
280 North,http://280north.com,presentations|software,250000,acquired,USA,CA,2,1/1/2008,3/1/2008,1,60 days 00:00:00.000000000,60 days 00:00:00.000000000,250000,60,60,1,4,software,West
2Checkout,http://www.2checkout.com,e-commerce,72000000,operating,USA,OH,2,7/16/2014,9/15/2015,1,426 days 00:00:00.000000000,426 days 00:00:00.000000000,36000000,426,426,1,3,e-commerce,Midwest
2d2c,http://www.2d2c.com,hardware + software,2941000,operating,USA,IL,3,4/7/2009,1/18/2011,1,289 days 00:00:00.000000000,325 days 12:00:00.000000000,980333.3333,325,289,0,1,software,Midwest
2Morrow Inc,http://www.2morrowinc.com,application platforms|health and wellness|mobile|mobile health|software,300000,operating,USA,WA,2,5/15/2014,3/16/2015,1,305 days 00:00:00.000000000,305 days 00:00:00.000000000,150000,305,305,1,1,healthcare,West
2nd Watch,http://2ndwatch.com,cloud infrastructure|corporate it|enterprise software,37644420,operating,USA,WA,4,12/6/2011,10/14/2014,1,387 days 00:00:00.000000000,347 days 16:00:00.000000000,9411105,347,387,1,3,software,West
2U Inc.,http://2u.com,edtech|education|software,95875000,ipo,USA,MD,6,3/25/2009,10/21/2013,1,88 days 00:00:00.000000000,334 days 04:48:00.000000000,15979166.67,334,88,1,8,software,South
3-V Biosciences,http://www.3vbio.com,biotechnology,128477567,operating,USA,CA,7,5/22/2007,3/17/2015,1,780 days 00:00:00.000000000,476 days 00:00:00.000000000,18353938.14,476,780,1,5,biotech,West
360imaging,http://www.360imaging.com,biotechnology|dental,1000000,operating,USA,GA,2,11/1/2011,1/1/2013,1,427 days 00:00:00.000000000,427 days 00:00:00.000000000,500000,427,427,0,1,biotech,South
365 Retail Markets,http://www.365retailmarkets.com,point of sale|saas|software,2000000,operating,USA,MI,3,4/1/2013,5/29/2015,1,274 days 00:00:00.000000000,394 days 00:00:00.000000000,16072894.8,394,274,1,1,software,Midwest
3ClickEMR Corporation,http://www.3clickemr.com,consumer electronics|electronic health records|health care|ipad|software,500000,closed,USA,MA,2,6/23/2010,6/1/2011,1,343 days 00:00:00.000000000,343 days 00:00:00.000000000,250000,343,343,0,1,healthcare,Northeast
3CLogic,http://www.3clogic.com,customer service|sales and marketing|software|telephony,9311190,operating,USA,MD,4,1/14/2013,7/7/2015,1,414 days 00:00:00.000000000,301 days 08:00:00.000000000,2327797.5,301,414,1,4,software,South
XDN/3Crowd Technologies,http://www.3crowd.com,enterprise software,7289000,acquired,USA,CA,3,12/22/2009,7/1/2012,1,112 days 00:00:00.000000000,461 days 00:00:00.000000000,3644500,461,112,1,5,software,West
3D Biomatrix,http://3dbiomatrix.com,biotechnology,1465000,operating,USA,MI,2,10/5/2009,2/5/2013,1,1219 days 00:00:00.000000000,1219 days 00:00:00.000000000,1465000,1219,1219,0,1,biotech,Midwest
3D FUTURE VISION II,http://www.3dfuturevision.com,games,503000,closed,USA,FL,2,6/22/2011,3/21/2013,1,638 days 00:00:00.000000000,638 days 00:00:00.000000000,251500,638,638,0,1,games,South
3D Product Imaging,http://3dproductimaging.com/,3d|3d technology|e-commerce|internet|online shopping,240000,operating,USA,WA,2,1/1/2014,5/15/2014,1,134 days 00:00:00.000000000,134 days 00:00:00.000000000,120000,134,134,1,1,e-commerce,West
3D Robotics,http://3drobotics.com,drones|manufacturing,99000000,operating,USA,CA,4,11/5/2012,4/23/2015,1,311 days 00:00:00.000000000,299 days 16:00:00.000000000,24750000,299,311,1,13,manufacturing,West
3D Sports Technology,http://3dsportstech.com,software,909940,operating,USA,MN,3,1/21/2011,7/25/2013,1,503 days 00:00:00.000000000,458 days 00:00:00.000000000,303313.3333,458,503,1,1,software,Midwest
3D Systems,http://www.3dsystems.com,software,169500000,ipo,USA,SC,3,1/15/2014,10/13/2014,1,91 days 00:00:00.000000000,135 days 12:00:00.000000000,56500000,135,91,1,1,software,South
3Derm Systems,http://3derm.com,3d|medical|physicians,1880000,operating,USA,CT,4,4/2/2013,7/23/2015,1,210 days 00:00:00.000000000,280 days 16:00:00.000000000,626666.6667,280,210,1,2,pharma,Northeast
3Diligent,http://www.3diligent.com,3d printing|manufacturing,1150000,operating,USA,CA,2,8/1/2014,3/15/2015,1,226 days 00:00:00.000000000,226 days 00:00:00.000000000,575000,226,226,1,1,manufacturing,West
3DR Laboratories,http://www.3drinc.com,biotechnology,7436500,operating,USA,KY,2,5/29/2009,8/23/2012,1,1182 days 00:00:00.000000000,1182 days 00:00:00.000000000,3718250,1182,1182,0,1,biotech,South
Nimble VR,http://nimblevr.com/,software,2249999,acquired,USA,CA,2,3/30/2012,4/2/2014,1,733 days 00:00:00.000000000,733 days 00:00:00.000000000,1124999.5,733,733,1,5,software,West
3Pillar Global,http://www.3pillarglobal.com,consulting|software,25920000,operating,USA,VA,4,1/29/2010,6/6/2013,1,82 days 00:00:00.000000000,408 days 00:00:00.000000000,6480000,408,82,0,2,software,South
3Play Media,http://www.3playmedia.com,software,1011601,operating,USA,MA,3,2/8/2010,10/21/2011,1,498 days 00:00:00.000000000,310 days 00:00:00.000000000,337200.3333,310,498,0,1,software,Northeast
3scale,http://www.3scale.net,developer apis|enterprise software|infrastructure|services|software,5000000,operating,USA,CA,2,4/20/2010,4/24/2013,1,1100 days 00:00:00.000000000,1100 days 00:00:00.000000000,2500000,1100,1100,0,6,software,West
3Scan,http://www.3scan.com,biotechnology,7063012,operating,USA,CA,4,8/31/2011,12/5/2014,1,236 days 00:00:00.000000000,397 days 08:00:00.000000000,2354337.333,397,236,1,7,biotech,West
3TIER,http://www.3tier.com/en,clean technology,15000000,acquired,USA,WA,3,9/5/2007,2/25/2010,1,470 days 00:00:00.000000000,452 days 00:00:00.000000000,5000000,452,470,1,1,technology,West
4-Tell,http://4-tell.com,e-commerce,2374979,operating,USA,WA,6,7/1/2011,3/9/2015,1,171 days 00:00:00.000000000,269 days 09:36:00.000000000,474995.8,269,171,1,7,e-commerce,West
42,http://www.42technologies.com,enterprise software,2000000,operating,USA,CA,2,2/21/2013,5/16/2014,1,449 days 00:00:00.000000000,449 days 00:00:00.000000000,0,449,449,1,5,software,West
480 Biomedical,http://www.480biomedical.com,biotechnology,49656999,operating,USA,MA,5,2/14/2012,6/19/2015,1,259 days 00:00:00.000000000,305 days 06:00:00.000000000,9931399.8,305,259,1,4,biotech,Northeast
4D Energetics,http://4denergetics.com,clean technology|enterprise software,1160000,operating,USA,CA,2,9/1/2012,2/18/2014,1,535 days 00:00:00.000000000,535 days 00:00:00.000000000,1160000,535,535,1,1,technology,West
4Home,http://www.4home.com,automotive|clean energy|cloud computing|internet|software|wireless,9416354,acquired,USA,CA,6,8/1/2006,2/3/2010,1,791 days 00:00:00.000000000,256 days 09:36:00.000000000,1569392.333,256,791,1,1,software,West
4INFO,http://www.4info.com,ad targeting|big data analytics|mobile advertising,320288000,operating,USA,CA,8,3/1/2005,8/1/2014,1,822 days 00:00:00.000000000,491 days 10:17:08.571428568,40036000,491,822,1,12,mobile,West
4moms,http://www.4moms.com,hardware + software,60000000,operating,USA,PA,5,6/17/2005,9/29/2015,1,198 days 00:00:00.000000000,939 days 00:00:00.000000000,30000000,939,198,1,4,software,Northeast
ChartRequest,http://www.chartrequest.com,software,740000,operating,USA,NY,2,3/29/2012,1/8/2013,1,285 days 00:00:00.000000000,285 days 00:00:00.000000000,370000,285,285,0,1,software,Northeast
500Friends,http://www.500Friends.com,e-commerce|enterprise software|loyalty programs|social media,12900000,acquired,USA,CA,6,12/15/2009,3/12/2013,1,98 days 00:00:00.000000000,236 days 14:24:00.000000000,3225000,236,98,1,23,e-commerce,West
5BARz International,http://www.5barz.com,mobile|technology|wireless,6100000,ipo,USA,WA,2,11/12/2013,11/17/2014,1,370 days 00:00:00.000000000,370 days 00:00:00.000000000,3050000,370,370,1,1,mobile,West
5min Media,http://www.5minmedia.com,education|games|video,12800000,acquired,USA,NY,3,4/1/2007,7/23/2009,1,214 days 00:00:00.000000000,422 days 00:00:00.000000000,4266666.667,422,214,1,2,games,Northeast
640 Labs,http://www.640labs.com/,software,3050000,acquired,USA,IL,3,6/20/2014,10/20/2014,1,17 days 00:00:00.000000000,61 days 00:00:00.000000000,1016666.667,61,17,1,1,software,Midwest
6fusion,http://www.6fusion.com,enterprise software,37143865,operating,USA,NC,5,8/23/2010,7/2/2015,1,364 days 00:00:00.000000000,443 days 12:00:00.000000000,7428773,443,364,1,2,software,South
6SensorLabs,http://www.6sensorlabs.com/,health and wellness|specialty foods,8000000,operating,USA,CA,2,9/11/2014,9/12/2014,1,1 days 00:00:00.000000000,1 days 00:00:00.000000000,4000000,1,1,1,6,healthcare,West
6th Sense Analytics,http://www.sixthsenseanalytics.com,software,6700000,acquired,USA,NC,2,11/11/2005,1/31/2007,1,446 days 00:00:00.000000000,446 days 00:00:00.000000000,3350000,446,446,1,2,software,South
7 Billion People,http://www.7bpeople.com,analytics|e-commerce|software,6528902,closed,USA,TX,3,2/9/2009,7/13/2012,1,1226 days 00:00:00.000000000,625 days 00:00:00.000000000,2176300.667,625,1226,0,1,e-commerce,South
7 Cups of Tea,http://www.7cups.com,health and wellness|health care|health services industry,100000,operating,USA,VA,2,3/1/2013,9/1/2013,1,184 days 00:00:00.000000000,184 days 00:00:00.000000000,21732739.24,184,184,1,5,healthcare,South
Shoppable,http://www.Shoppable.com/,advertising|consumers|e-commerce|mobile commerce|retail|saas|software,1500000,operating,USA,NY,2,10/26/2011,9/1/2012,1,311 days 00:00:00.000000000,311 days 00:00:00.000000000,1500000,311,311,0,2,mobile,Northeast
7AC Technologies,http://7actech.com,clean technology,16036000,operating,USA,MA,6,12/13/2011,6/26/2015,1,93 days 00:00:00.000000000,258 days 04:48:00.000000000,2672666.667,258,93,1,2,technology,Northeast
7mb Technologies,,software,1017470,operating,USA,WA,3,10/28/2013,8/14/2015,0,266 days 00:00:00.000000000,327 days 12:00:00.000000000,339156.6667,327,266,1,1,software,West
8D World,http://www.8dworld.com/English/Home.html,games|virtual worlds,12250000,closed,USA,MA,2,3/1/2008,12/9/2010,1,1013 days 00:00:00.000000000,1013 days 00:00:00.000000000,6125000,1013,1013,0,2,games,Northeast
8fit - Fitness for the rest of us,http://8fit.com,exercise|fitness|tracking,2730000,operating,USA,CA,3,2/26/2014,8/31/2015,1,124 days 00:00:00.000000000,275 days 12:00:00.000000000,910000,275,124,1,2,healthcare,West
908 Devices,http://908devices.com,manufacturing,29300000,operating,USA,MA,4,9/5/2012,5/6/2015,1,356 days 00:00:00.000000000,324 days 08:00:00.000000000,7325000,324,356,1,7,manufacturing,Northeast
Applauze,http://applauze.com,mobile|publishing,10450000,operating,USA,CA,3,1/8/2011,10/23/2013,1,383 days 00:00:00.000000000,509 days 12:00:00.000000000,5225000,509,383,1,13,mobile,West
99degrees Custom,http://www.99degreescustom.com,e-commerce platforms|manufacturing|material science,500000,operating,USA,MA,2,10/30/2013,11/7/2014,1,373 days 00:00:00.000000000,373 days 00:00:00.000000000,250000,373,373,1,2,manufacturing,Northeast
9Lenses,http://www.9lenses.com,business analytics|enterprise software|saas|software,7200000,operating,USA,VA,3,9/12/2013,2/27/2015,1,47 days 00:00:00.000000000,266 days 12:00:00.000000000,2400000,266,47,1,3,software,South
9SLIDES,http://www.9SLIDES.com,enterprises|enterprise software|ipad|presentations|saas|training,925000,acquired,USA,WA,2,5/30/2013,10/3/2013,1,126 days 00:00:00.000000000,126 days 00:00:00.000000000,462500,126,126,1,3,software,West
A Bit Lucky,http://www.abitlucky.com,games|social games,10312103,closed,USA,CA,2,3/15/2010,3/25/2011,1,375 days 00:00:00.000000000,375 days 00:00:00.000000000,5156051.5,375,375,0,8,games,West
A&G Pharmaceutical,http://www.agpharma.com,biotechnology,2100002,operating,USA,MD,2,9/8/2005,4/27/2010,1,1692 days 00:00:00.000000000,1692 days 00:00:00.000000000,1050001,1692,1692,1,3,biotech,South
A la Mobile,http://www.a-la-mobile.com,mobile,14300000,operating,USA,CA,3,7/1/2005,5/2/2008,1,608 days 00:00:00.000000000,518 days 00:00:00.000000000,4766666.667,518,608,1,2,mobile,West
A.P.Pharma,http://appharma.com,biotechnology,32142818,operating,USA,CA,2,11/5/2009,7/11/2011,1,613 days 00:00:00.000000000,613 days 00:00:00.000000000,16071409,613,613,0,1,biotech,West
A1 Software Group Inc (Selly Automotive),http://www.a1softwaregroup.com,android|business productivity|crm|ios|ipad|iphone|mobile|point of sale|productivity software,20000,operating,USA,CA,2,10/14/2014,3/3/2015,1,140 days 00:00:00.000000000,140 days 00:00:00.000000000,20000,140,140,1,1,mobile,West
A123 Systems,http://a123systems.com,batteries|clean technology|energy storage|mobile,502860000,ipo,USA,MA,8,11/1/2005,6/7/2012,1,92 days 00:00:00.000000000,344 days 06:51:25.714285716,62857500,344,92,1,11,technology,Northeast
Aarki,http://www.aarki.com,advertising|mobile|mobile advertising|optimization,100000,operating,USA,CA,5,6/1/2011,5/1/2013,1,48 days 00:00:00.000000000,175 days 00:00:00.000000000,23946976.21,175,48,0,4,mobile,West
Abacus,http://abacus.com,saas|software,3500000,operating,USA,NY,2,1/1/2014,10/29/2014,1,301 days 00:00:00.000000000,301 days 00:00:00.000000000,3500000,301,301,1,14,software,Northeast
Abakan,http://www.abakaninc.com,clean technology,4211031,operating,USA,FL,6,5/10/2012,10/8/2014,1,162 days 00:00:00.000000000,176 days 04:48:00.000000000,701838.5,176,162,1,1,technology,South
Abaris,https://www.myabaris.com,finance|finance technology|financial services|fintech|insurance|personal finance|software,720000,operating,USA,PA,2,7/24/2014,10/20/2015,1,453 days 00:00:00.000000000,453 days 00:00:00.000000000,360000,453,453,1,1,software,Northeast
AbbeyPost,http://abbeypost.com,e-commerce|fashion|women,875000,acquired,USA,CA,5,7/30/2013,7/11/2014,1,160 days 00:00:00.000000000,86 days 12:00:00.000000000,175000,86,160,1,3,e-commerce,West
Abbott Labs,http://www.abbott.com,biotechnology|health and wellness|medical|venture capital,6790000,ipo,USA,IL,2,3/16/2009,3/15/2011,1,729 days 00:00:00.000000000,729 days 00:00:00.000000000,3395000,729,729,1,1,pharma,Midwest
Abeona Therapeutics,http://abeonatherapeutics.com,biotechnology,12850000,operating,USA,OH,3,12/16/2013,7/28/2015,1,350 days 00:00:00.000000000,294 days 12:00:00.000000000,4283333.333,294,350,1,1,biotech,Midwest
Abe's Market,http://www.abesmarket.com,e-commerce,19148000,operating,USA,IL,5,6/29/2010,2/7/2014,1,226 days 00:00:00.000000000,329 days 18:00:00.000000000,4787000,329,226,1,11,e-commerce,Midwest
AbGenomics,http://abgenomics.com,biotechnology,39610000,operating,USA,CA,3,6/19/2012,8/27/2014,1,394 days 00:00:00.000000000,399 days 12:00:00.000000000,13203333.33,399,394,1,1,biotech,West
ABILITY Network,http://www.abilitynetwork.com,health care,583000000,operating,USA,MN,4,12/14/2006,4/7/2014,1,18 days 00:00:00.000000000,890 days 08:00:00.000000000,145750000,890,18,1,4,healthcare,Midwest
AbilTo,http://www.abilto.com,curated web|health and wellness|health care|internet|medical|psychology|teachers|technology|therapeutics|voip|web development,21000000,operating,USA,NY,3,5/14/2013,6/9/2015,1,308 days 00:00:00.000000000,378 days 00:00:00.000000000,7000000,378,308,1,4,pharma,Northeast
Abiquo Group,http://www.abiquo.com,cloud computing|cloud infrastructure|cloud management|m2m|open source|software|virtualization|web hosting,26898770,operating,USA,CA,10,1/1/2008,8/10/2015,1,778 days 00:00:00.000000000,308 days 16:00:00.000000000,2689877,308,778,1,6,software,West
Ablative Solutions,http://ablativesolutions.com,biotechnology,42980577,operating,USA,MI,7,1/4/2012,11/12/2015,1,85 days 00:00:00.000000000,234 days 16:00:00.000000000,6140082.429,234,85,1,3,biotech,Midwest
Able Planet,http://www.ableplanet.com,hardware + software,12005448,operating,USA,CO,5,8/17/2009,2/1/2012,1,38 days 00:00:00.000000000,224 days 12:00:00.000000000,2401089.6,224,38,0,1,software,West
