joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
1/1/2013,Startup,https://angel.co/company/waynaut,Milan,Developer APIs,Waynaut,,300000,Nov-50,Seed,waynaut.com,6.956164384,43127.21544,0,0,25
6/1/2012,Startup,https://angel.co/company/wearepopup,London,Commercial Real Estate,We Are Pop Up,,1321000,10-Jan,Seed,wearepopup.com,7.542465753,175141.6636,0,0,5
8/1/2013,Startup,https://angel.co/company/we-heart-it,San Francisco,Photo Sharing,We Heart It,,8000000,Nov-50,Series A,weheartit.com,6.375342466,1254834.551,1,0,25
6/1/2014,Startup,https://angel.co/company/we-make-dance-music,Montreal,SaaS,We Make Dance Music (WMDM Media LLC),,50000,10-Jan,Seed,wemakedancemusic.com,5.542465753,9021.255561,0,0,5
5/1/2013,Startup,https://angel.co/company/wecounsel,Chattanooga,Mental Health,WeCounsel,,4400000,10-Jan,Series A,wecounsel.com,6.62739726,663910.7069,1,0,5
10/1/2011,Startup,https://angel.co/company/wegoout,Rio de Janeiro,Nightlife,WeGoOut,,40000,10-Jan,Seed,wegoout.com,8.210958904,4871.538205,0,0,5
5/1/2014,Startup,https://angel.co/company/weinvest,Singapore,Investment Management,WeInvest,,13290000,51-200,Series A,weinvest.net,5.62739726,2361660.175,1,1,125
4/1/2012,Startup,https://angel.co/company/weplann,San Francisco,Latin America,WePlann,,500000,10-Jan,Seed,weplann.com,7.709589041,64854.29993,0,0,5
3/1/2017,Startup,https://angel.co/company/werecover,Los Angeles,Mobile Health,WeRecover,,5250000,Nov-50,Seed,WeRecover.com,2.791780822,1880520.118,1,0,25
1/1/2012,Startup,https://angel.co/company/wespire,Boston,Hr Tech,WeSpire,,6750000,Nov-50,Series A,wespire.com,7.95890411,848106.7126,1,0,25
10/1/2013,Startup,https://angel.co/company/westore,London,Self Storage,WeStore,,200000,10-Jan,Seed,WeStore.co.uk,6.208219178,32215.35746,0,0,5
6/1/2014,Startup,https://angel.co/company/wealthsimple,Toronto,Investment Management,Wealthsimple,,31900000,201-500,Series A,wealthsimple.com,5.542465753,5755561.048,1,1,350
1/1/2014,Startup,https://angel.co/company/weathercloud,Boulder,Internet of Things,WeatherCloud,,175000,-,Seed,weathercloud.co,5.956164384,29381.32475,0,0,
1/1/2014,Startup,https://angel.co/company/web-development-phoenix,Phoenix,SEO,Web Development Phoenix,,200000,Nov-50,Series A,phoenix.fortuneinnovations.com,5.956164384,33578.65685,0,0,25
9/1/2012,Startup,https://angel.co/company/webflow,San Francisco,Web Design,Webflow,,1500000,51-200,Seed,webflow.com,7.290410959,205749.7182,0,0,125
2/1/2014,Startup,https://angel.co/company/websand,Newcastle upon Tyne,Email,Websand,,295000,10-Jan,Seed,websand.co.uk,5.871232877,50244.98367,0,0,5
1/1/2013,Startup,https://angel.co/company/webware,Toronto,Retail Technology,Webware.io,,870000,51-200,Seed,webware.io,6.956164384,125068.9248,0,0,125
5/1/2012,Startup,https://angel.co/company/weddingful,Vancouver,Weddings,Weddingful,,1320000,Nov-50,Seed,weddingful.com,7.62739726,173060.3448,0,0,25
10/1/2016,Startup,https://angel.co/company/sayweee,Fremont,Mobile Commerce,Weee!,,18950000,51-200,Series A,sayweee.com,3.205479452,5911752.137,1,1,125
9/1/2013,Startup,https://angel.co/company/weele,Bogota,Language Learning,Weele,,25000,10-Jan,Seed,weele.mx,6.290410959,3974.303136,0,0,5
4/1/2013,Startup,https://angel.co/company/weemo,San Francisco,Video Chat,Weemo,,4600000,Nov-50,Series A,weemo.com,6.709589041,685585.9535,1,0,25
5/1/2013,Startup,https://angel.co/company/wellpepper,Seattle,Mobile Health,Wellpepper,,176097,10-Jan,Seed,wellpepper.com,6.62739726,26571.06449,0,0,5
10/1/2016,Startup,https://angel.co/company/welltory,San Francisco,Corporate Wellness,Welltory,,2430000,Nov-50,Seed,welltory.com,3.205479452,758076.9231,1,0,25
1/1/2013,Startup,https://angel.co/company/whale-path,San Francisco,Crowdsourcing,Whale Path,,1100000,10-Jan,Seed,whalepath.com,6.956164384,158133.1233,0,0,5
6/1/2013,Startup,https://angel.co/company/whereinfair,London,B2B,WhereInFair,,140000,10-Jan,Seed,whereinfair.com,6.542465753,21398.65997,0,0,5
1/1/2015,Startup,https://angel.co/company/wheretoget,Paris,Mobile Shopping,Wheretoget,,2250000,Nov-50,Seed,wheretoget.it,4.956164384,453980.0995,1,0,25
12/1/2012,Startup,https://angel.co/company/while-i-grow-up-wigup,Ottawa,K-12 Education,While I Grow Up (WIGUP) ®,,500000,10-Jan,Seed,Www.wigup.tv,7.04109589,71011.67315,0,0,5
3/1/2012,Startup,https://angel.co/company/whiplash,San Francisco,Small and Medium Businesses,Whiplash,,1125000,Nov-50,Seed,whiplashmerch.com,7.794520548,144332.1617,0,0,25
11/1/2013,Startup,https://angel.co/company/whisper,Los Angeles,Mobile Advertising,Whisper,,60000000,51-200,Series A,whisper.sh,6.123287671,9798657.718,1,1,125
1/1/2012,Startup,https://angel.co/company/whistletalk,Bengaluru,Social Recruiting,WhistleTalk,,450000,10-Jan,Seed,WhistleTalk.com,7.95890411,56540.4475,0,0,5
12/1/2013,Startup,https://angel.co/company/white-cloud-security,Austin,Enterprise Security,White Cloud Security,,493000,10-Jan,Seed,whitecloudsecurity.com,6.04109589,81607.70975,0,0,5
8/1/2013,Startup,https://angel.co/company/white-shoe-media,New York City,Mobile Games,White Shoe Media,,65000,10-Jan,Seed,whiteshoemedia.com,6.375342466,10195.53073,0,0,5
4/1/2017,Startup,https://angel.co/company/whitehat,London,Future Of Work,WhiteHat,,4000000,51-200,Seed,whitehat.org.uk,2.706849315,1477732.794,1,0,125
7/1/2016,Startup,https://angel.co/company/who-3,Israel,Messaging,Who?,,310000,10-Jan,Seed,whomsg.me,3.457534247,89659.271,0,0,5
5/1/2014,Startup,https://angel.co/company/wholeworldband,Dublin,Content Creators,WholeWorldBand,,15200000,Nov-50,Series A,wholeworldband.com,5.62739726,2701071.081,1,1,25
12/1/2013,Startup,https://angel.co/company/wimi5,Cambridge,Web Tools,WiMi5,,532800,10-Jan,Seed,wimi5.com,6.04109589,88195.91837,0,0,5
3/1/2016,Startup,https://angel.co/company/wicket-labs,Seattle,Video Streaming,Wicket Labs,,4800000,Nov-50,Seed,wicketlabs.com,3.791780822,1265895.954,1,0,25
3/1/2012,Startup,https://angel.co/company/wikibrains,Tel Aviv-Yafo,University Students,WikiBrains,,750000,10-Jan,Seed,wikibrains.com,7.794520548,96221.44112,0,0,5
8/1/2013,Startup,https://angel.co/company/wild-wild-east,Florida,Social Media Platforms,Wild Wild East,,400000,10-Jan,Seed,wilderbase.com,6.375342466,62741.72755,0,0,5
10/1/2012,Startup,https://angel.co/company/willpath,San Francisco,Quantified Self,Willpath,,115000,10-Jan,Seed,willpath.com,7.208219178,15954.00988,0,0,5
1/1/2014,Startup,https://angel.co/company/wimdu,Berlin,Vacation Rentals,Wimdu,,90000000,201-500,Series A,wimdu.com,5.956164384,15110395.58,1,1,350
3/1/2013,Startup,https://angel.co/company/winad-advertising-rewards,Cali,Social Media Platforms,WinAd. Advertising Rewards,,150000,10-Jan,Seed,clickmad.co,6.794520548,22076.6129,0,0,5
2/1/2014,Startup,https://angel.co/company/windowswear,New York City,Bridging Online and Offline,WindowsWear,,250000,Nov-50,Seed,WindowsWear.com,5.871232877,42580.49463,0,0,25
1/1/2014,Startup,https://angel.co/company/wiseguy-com-1,San Francisco,Tutoring,WiseGuy.com,,40000,10-Jan,Seed,wiseguy.com,5.956164384,6715.731371,0,0,5
10/1/2014,Startup,https://angel.co/company/wizdy,Boston,Mobile Games,Wizdy,,300000,10-Jan,Seed,wizdygames.com,5.208219178,57601.26249,0,0,5
8/1/2010,Startup,https://angel.co/company/wizehive,Philadelphia,Databases,WizeHive,,2430000,51-200,Seed,wizehive.com,9.378082192,259114.8116,1,0,125
12/1/2013,Startup,https://angel.co/company/wizishop,Nice,-,Wizishop,,413000,Nov-50,Seed,wizishop.com,6.04109589,68365.07937,0,0,25
7/1/2015,Startup,https://angel.co/company/wolfprint-3d,Tallinn,Augmented Reality,Wolf3D,,1500000,Nov-50,Seed,wolf3d.io,4.460273973,336302.2113,0,0,25
3/1/2014,Startup,https://angel.co/company/wonder-app,San Francisco,Application Platforms,Wonder,,15845000,10-Jan,Series A,wonderapp.com,5.794520548,2734479.905,1,1,5
7/1/2013,Startup,https://angel.co/company/wonder-technologies,Dana Point,Mobile Commerce,Wonder Technologies,,1500000,Nov-50,Seed,gowonder.com,6.460273973,232188.2952,0,0,25
12/1/2014,Startup,https://angel.co/company/wonderblah,London,E-Commerce Platforms,WonderBlah,,300000,10-Jan,Seed,powtoon.com,5.04109589,59510.86957,0,0,5
1/1/2014,Startup,https://angel.co/company/wonderpoint-software,Mumbai,Logistics,WonderPoint Software,,500000,Nov-50,Seed,wonderpoint.com,5.956164384,83946.64213,0,0,25
6/1/2014,Startup,https://angel.co/company/wonderflow,Trento,Data Mining,Wonderflow,,515000,Nov-50,Seed,wonderflow.co,5.542465753,92918.93228,0,0,25
8/1/2013,Startup,https://angel.co/company/woowup,Buenos Aires Province,Big Data,WoowUp,,325000,Nov-50,Seed,woowup.com,6.375342466,50977.65363,0,0,25
1/1/2013,Startup,https://angel.co/company/wordinaire,Los Angeles,High Schools,Wordinaire,,140000,10-Jan,Seed,wordinaire.com,6.956164384,20126.03387,0,0,5
1/1/2015,Startup,https://angel.co/company/workhere,Indianapolis,Human Resource Automation,WorkHere,,1700000,10-Jan,Seed,workhere.com,4.956164384,343007.1863,0,0,5
9/1/2016,Startup,https://angel.co/company/workramp,San Francisco,Training,WorkRamp,,2200000,Nov-50,Seed,workramp.com,3.287671233,669166.6667,1,0,25
8/1/2013,Startup,https://angel.co/company/worktouch,United Kingdom,Productivity Software,WorkTouch,,31500,10-Jan,Seed,WorkTouch.com,6.375342466,4940.911044,0,0,5
10/1/2015,Startup,https://angel.co/company/worklete,San Francisco,Corporate Wellness,Worklete,,7875000,Nov-50,Series A,worklete.com,4.208219178,1871337.891,1,0,25
9/1/2015,Startup,https://angel.co/company/workyapp,Norwalk,Location Based Services,WorkyApp.com,,30000,10-Jan,Seed,WorkyApp.com,4.290410959,6992.337165,0,0,5
4/1/2014,Startup,https://angel.co/company/worldshop,Monterey,Shipping,WorldShop,,6100000,Nov-50,Seed,ShopO.com,5.709589041,1068378.119,1,0,25
12/1/2011,Startup,https://angel.co/company/wormhole,Buenos Aires Province,Technology,Wormhole,,500000,Nov-50,Seed,wormholeit.com,8.043835616,62159.40054,0,0,25
5/1/2013,Startup,https://angel.co/company/woto,London,Content Delivery,Woto,,500000,10-Jan,Seed,woto.com,6.62739726,75444.39851,0,0,5
11/1/2016,Startup,https://angel.co/company/wyldfire,Los Angeles,Social Media Platforms,Wyldfire,,480000,10-Jan,Seed,wyldfireapp.com,3.120547945,153819.1396,0,0,5
1/1/2016,Startup,https://angel.co/company/wyper,Irvine,Mobile Application,Wyper,,1400000,Nov-50,Seed,wyper.co,3.956164384,353878.1163,0,0,25
6/1/2013,Startup,https://angel.co/company/sendwyre,San Francisco,Finance Technology,Wyre,,8610000,Nov-50,Series A,sendwyre.com,6.542465753,1316017.588,1,0,25
1/1/2015,Startup,https://angel.co/company/xfield-paintball-game,Toulouse,Paintball,XField Paintball Game,,300000,10-Jan,Seed,xfield-paintball.com,4.956164384,60530.67993,0,0,5
12/1/2012,Startup,https://angel.co/company/xs-action-sports,San Francisco,Sports,XS: Action Sports,,75000,10-Jan,Seed,xsapp.co,7.04109589,10651.75097,0,0,5
10/1/2015,Startup,https://angel.co/company/xv-establishments,New Jersey,Mobile Advertising,XV Establishments,,15000,10-Jan,Seed,xvestablishments.com,4.208219178,3564.453125,0,0,5
4/1/2013,Startup,https://angel.co/company/xy-gaming,Mountain View,Skill Gaming,XY Gaming,,510000,10-Jan,Seed,XYGaming.com,6.709589041,76010.61658,0,0,5
12/1/2013,Startup,https://angel.co/company/xceed,Milan,Nightlife,Xceed,,1803750,Nov-50,Seed,xceed.me,6.04109589,298579.932,0,0,25
4/1/2013,Startup,https://angel.co/company/xetal,Belgium,Electronics,Xetal,,1000000,10-Jan,Seed,xetal.eu,6.709589041,149040.4247,0,0,5
6/1/2011,Startup,https://angel.co/company/xola,San Francisco,Enterprise Resource Planning,Xola,,6800000,51-200,Series A,xola.com,8.545205479,795767.8743,1,0,125
12/1/2012,Startup,https://angel.co/company/xooker,Lexington,Mobile Advertising,Xooker,,300000,10-Jan,Seed,xooker.com,7.04109589,42607.00389,0,0,5
